MemCellType,CellArea (F^2),CellAspectRatio,AccessType,AccessCMOSWidth (F),ResistanceOn (ohm),ResistanceOff (ohm),ReadMode,ReadVoltage (V),ReadEnergy (pJ),ResetMode,ResetCurrent (uA),ResetPulse (ns),SetMode,SetCurrent (uA),SetPulse (ns),MemoryCellInputFile,DesignTarget,DeviceRoadmap,LocalWireType,LocalWireRepeaterType,LocalWireUseLowSwing,GlobalWireType,GlobalWireRepeaterType,GlobalWireUseLowSwing,Routing,InternalSensing,Temperature (K),BufferDesignOptimization,ProcessNode,OptimizationTarget,WordWidth (bit),Capacity (MB),Benchmark Name,Read Accesses,Write Accesses,Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Read BW Util,Write BW Util,Area (mm^2),Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Bits Per Cell
 PCRAM, 40, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 640.0, 100.0, current, 400.0, 30000.0, data/cell_cfgs/PCM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet50w,211500000.0,0,1695.5955,0.0,1736.3984999999998,1695.5955,0.0,13884.340500000002,0.0,1185.7188806690256,0.0,0.447932838,72.512,65.647,30065.0,8.017,1920000.0,40.803,1
 PCRAM, 25, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 1.0, 10.0, current, 0.2, 20.0, data/cell_cfgs/PCM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet50w,211500000.0,0,1993.599,0.0,2034.322,1993.599,0.0,5045.3325,0.0,19.361483007209063,0.0,0.296219674,68.532,23.855,43.043,9.426,2.807,40.723,1
 PCRAM, 40, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 640.0, 100.0, current, 400.0, 30000.0, data/cell_cfgs/PCM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet50w_int,4700000.0,0,37.6799,0.0,78.4829,37.6799,0.0,308.5409,0.0,26.349308459311676,0.0,0.447932838,72.512,65.647,30065.0,8.017,1920000.0,40.803,1
 PCRAM, 25, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 1.0, 10.0, current, 0.2, 20.0, data/cell_cfgs/PCM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet50w_int,4700000.0,0,44.3022,0.0,85.0252,44.3022,0.0,112.1185,0.0,0.4302551779379792,0.0,0.296219674,68.532,23.855,43.043,9.426,2.807,40.723,1
 PCRAM, 40, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 640.0, 100.0, current, 400.0, 30000.0, data/cell_cfgs/PCM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26w_single,87750000.0,0,703.49175,0.0,744.29475,703.49175,0.0,5760.524250000001,0.0,491.9471951711914,0.0,0.447932838,72.512,65.647,30065.0,8.017,1920000.0,40.803,1
 PCRAM, 25, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 1.0, 10.0, current, 0.2, 20.0, data/cell_cfgs/PCM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26w_single,87750000.0,0,827.1315,0.0,867.8544999999999,827.1315,0.0,2093.27625,0.0,8.032955715756952,0.0,0.296219674,68.532,23.855,43.043,9.426,2.807,40.723,1
 PCRAM, 40, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 640.0, 100.0, current, 400.0, 30000.0, data/cell_cfgs/PCM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26w_single_int,1950000.0,0,15.633149999999997,0.0,56.43615,15.633149999999997,0.0,128.01165,0.0,10.932159892693143,0.0,0.447932838,72.512,65.647,30065.0,8.017,1920000.0,40.803,1
 PCRAM, 25, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 1.0, 10.0, current, 0.2, 20.0, data/cell_cfgs/PCM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26w_single_int,1950000.0,0,18.3807,0.0,59.1037,18.3807,0.0,46.51725,0.0,0.17851012701682115,0.0,0.296219674,68.532,23.855,43.043,9.426,2.807,40.723,1
 PCRAM, 40, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 640.0, 100.0, current, 400.0, 30000.0, data/cell_cfgs/PCM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26w_multi,265500000.0,0,2128.5134999999996,0.0,2169.3164999999995,2128.5134999999996,0.0,17429.2785,0.0,1488.4556161589894,0.0,0.447932838,72.512,65.647,30065.0,8.017,1920000.0,40.803,1
 PCRAM, 25, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 1.0, 10.0, current, 0.2, 20.0, data/cell_cfgs/PCM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26w_multi,265500000.0,0,2502.603,0.0,2543.326,2502.603,0.0,6333.5025,0.0,24.3048403707518,0.0,0.296219674,68.532,23.855,43.043,9.426,2.807,40.723,1
 PCRAM, 40, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 640.0, 100.0, current, 400.0, 30000.0, data/cell_cfgs/PCM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26w_multi_int,5900000.0,0,47.3003,0.0,88.10329999999999,47.3003,0.0,387.31730000000005,0.0,33.076791470199765,0.0,0.447932838,72.512,65.647,30065.0,8.017,1920000.0,40.803,1
 PCRAM, 25, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 1.0, 10.0, current, 0.2, 20.0, data/cell_cfgs/PCM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26w_multi_int,5900000.0,0,55.6134,0.0,96.3364,55.6134,0.0,140.7445,0.0,0.5401075637944845,0.0,0.296219674,68.532,23.855,43.043,9.426,2.807,40.723,1
 PCRAM, 40, 1.460000, CMOS, 6.000000, 1000, 1000000, voltage, 1.000000, 2.000000, current, 640.0, 100.0, current, 400.0, 30000.0, data/cell_cfgs/PCM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ALBERTw_emb,3840000.0,0,30.785279999999997,0.0,71.58828,30.785279999999997,0.0,252.08448000000004,0.0,21.52794563484188,0.0,0.447932838,72.512,65.647,30065.0,8.017,1920000.0,40.803,1
