MemCellType,CellArea (F^2),CellAspectRatio,AccessType,AccessCMOSWidth (F),SRAMCellNMOSWidth (F),SRAMCellPMOSWidth (F),ReadMode,ReadVoltage (V),MinSenseVoltage (mV),Stitching,MemoryCellInputFile,DesignTarget,DeviceRoadmap,LocalWireType,LocalWireRepeaterType,LocalWireUseLowSwing,GlobalWireType,GlobalWireRepeaterType,GlobalWireUseLowSwing,Routing,InternalSensing,Temperature (K),BufferDesignOptimization,ProcessNode,OptimizationTarget,WordWidth (bit),Capacity (MB),Benchmark Name,Read Accesses,Write Accesses,Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Read BW Util,Write BW Util,Area (mm^2),Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Bits Per Cell
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet50w,211500000.0,0,974.169,0.0,1041.069,974.169,0.0,777.474,0.0,11.06895198220594,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet50w,211500000.0,0,974.169,0.0,1041.069,974.169,0.0,777.474,0.0,11.06895198220594,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet50w_int,4700000.0,0,21.6482,0.0,88.54820000000001,21.6482,0.0,17.2772,0.0,0.24597671071568758,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet50w_int,4700000.0,0,21.6482,0.0,88.54820000000001,21.6482,0.0,17.2772,0.0,0.24597671071568758,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_single,87750000.0,0,404.1765,0.0,471.0765,404.1765,0.0,322.569,0.0,4.592437524532252,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_single,87750000.0,0,404.1765,0.0,471.0765,404.1765,0.0,322.569,0.0,4.592437524532252,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_single_int,1950000.0,0,8.9817,0.0,75.88170000000001,8.9817,0.0,7.1682,0.0,0.10205416721182782,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_single_int,1950000.0,0,8.9817,0.0,75.88170000000001,8.9817,0.0,7.1682,0.0,0.10205416721182782,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_multi,265500000.0,0,1222.893,0.0,1289.7930000000001,1222.893,0.0,975.978,0.0,13.895067381918095,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
 SRAM, 146, 1.460000, CMOS, 1.310000, 2.080000, 1.230000, voltage, 1.1, 80, 16, data/cell_cfgs/SRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, non-H-tree, false, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_multi,265500000.0,0,1222.893,0.0,1289.7930000000001,1222.893,0.0,975.978,0.0,13.895067381918095,0.0,1.387,85.479,3.676,3.67,4.606,2.565,66.9,1
