MemCellType,CellArea (F^2),CellAspectRatio,AccessType,AccessCMOSWidth (F),ResistanceOn (ohm),ResistanceOff (ohm),ReadMode,ReadVoltage (V),ReadPower (uW),ResetMode,ResetCurrent (uA),ResetPulse (ns),ResetEnergy (pJ),SetMode,SetCurrent (uA),SetPulse (ns),SetEnergy (pJ),MemoryCellInputFile,DesignTarget,DeviceRoadmap,LocalWireType,LocalWireRepeaterType,LocalWireUseLowSwing,GlobalWireType,GlobalWireRepeaterType,GlobalWireUseLowSwing,Routing,InternalSensing,Temperature (K),BufferDesignOptimization,ProcessNode,OptimizationTarget,WordWidth (bit),Capacity (MB),Benchmark Name,Read Accesses,Write Accesses,Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Read BW Util,Write BW Util,Area (mm^2),Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Bits Per Cell
 MRAM, 75, 1.460000, CMOS, 6.000000, 3000, 6000, current, 1.250000, 21.600000, current, 80, 200.0, 4.5, current, 80, 200.0, 4.5, data/cell_cfgs/STT_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet50w,211500000.0,0,1672.965,0.0,1696.263,1672.965,0.0,187.24073850000002,0.0,6.224249558563861,0.0,0.789410595,77.148,0.885299,200.595,7.91,295.301,23.298,1
 MRAM, 14, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.080000, 3.900000, current, 80, 2.0, 0.6, current, 80, 2.0, 0.6, data/cell_cfgs/STT_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet50w,211500000.0,0,1520.685,0.0,1563.195,1520.685,0.0,119.06646299999998,0.0,14.433165571952571,0.0,0.28878371399999997,39.366,0.562962,2.385,7.19,45.638,42.51,1
 MRAM, 75, 1.460000, CMOS, 6.000000, 3000, 6000, current, 1.250000, 21.600000, current, 80, 200.0, 4.5, current, 80, 200.0, 4.5, data/cell_cfgs/STT_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet50w_int,4700000.0,0,37.177,0.0,60.474999999999994,37.177,0.0,4.1609053,0.0,0.1383166568569747,0.0,0.789410595,77.148,0.885299,200.595,7.91,295.301,23.298,1
 MRAM, 14, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.080000, 3.900000, current, 80, 2.0, 0.6, current, 80, 2.0, 0.6, data/cell_cfgs/STT_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet50w_int,4700000.0,0,33.793,0.0,76.303,33.793,0.0,2.6459213999999998,0.0,0.32073701271005717,0.0,0.28878371399999997,39.366,0.562962,2.385,7.19,45.638,42.51,1
 MRAM, 75, 1.460000, CMOS, 6.000000, 3000, 6000, current, 1.250000, 21.600000, current, 80, 200.0, 4.5, current, 80, 200.0, 4.5, data/cell_cfgs/STT_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet26w_single,87750000.0,0,694.1025,0.0,717.4005,694.1025,0.0,77.68498725,0.0,2.5824014125956447,0.0,0.789410595,77.148,0.885299,200.595,7.91,295.301,23.298,1
 MRAM, 14, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.080000, 3.900000, current, 80, 2.0, 0.6, current, 80, 2.0, 0.6, data/cell_cfgs/STT_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet26w_single,87750000.0,0,630.9225,0.0,673.4325,630.9225,0.0,49.399915500000006,0.0,5.988228269214365,0.0,0.28878371399999997,39.366,0.562962,2.385,7.19,45.638,42.51,1
 MRAM, 75, 1.460000, CMOS, 6.000000, 3000, 6000, current, 1.250000, 21.600000, current, 80, 200.0, 4.5, current, 80, 200.0, 4.5, data/cell_cfgs/STT_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet26w_single_int,1950000.0,0,15.4245,0.0,38.7225,15.4245,0.0,1.7263330499999998,0.0,0.057386698057680985,0.0,0.789410595,77.148,0.885299,200.595,7.91,295.301,23.298,1
 MRAM, 14, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.080000, 3.900000, current, 80, 2.0, 0.6, current, 80, 2.0, 0.6, data/cell_cfgs/STT_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet26w_single_int,1950000.0,0,14.0205,0.0,56.530499999999996,14.0205,0.0,1.0977758999999998,0.0,0.13307173931587477,0.0,0.28878371399999997,39.366,0.562962,2.385,7.19,45.638,42.51,1
 MRAM, 75, 1.460000, CMOS, 6.000000, 3000, 6000, current, 1.250000, 21.600000, current, 80, 200.0, 4.5, current, 80, 200.0, 4.5, data/cell_cfgs/STT_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet26w_multi,265500000.0,0,2100.105,0.0,2123.403,2100.105,0.0,235.04688449999998,0.0,7.81341965862272,0.0,0.789410595,77.148,0.885299,200.595,7.91,295.301,23.298,1
 MRAM, 14, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.080000, 3.900000, current, 80, 2.0, 0.6, current, 80, 2.0, 0.6, data/cell_cfgs/STT_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet26w_multi,265500000.0,0,1908.945,0.0,1951.455,1908.945,0.0,149.466411,0.0,18.118229122238336,0.0,0.28878371399999997,39.366,0.562962,2.385,7.19,45.638,42.51,1
 MRAM, 75, 1.460000, CMOS, 6.000000, 3000, 6000, current, 1.250000, 21.600000, current, 80, 200.0, 4.5, current, 80, 200.0, 4.5, data/cell_cfgs/STT_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet26w_multi_int,5900000.0,0,46.669,0.0,69.967,46.669,0.0,5.2232641,0.0,0.17363154796939376,0.0,0.789410595,77.148,0.885299,200.595,7.91,295.301,23.298,1
 MRAM, 14, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.080000, 3.900000, current, 80, 2.0, 0.6, current, 80, 2.0, 0.6, data/cell_cfgs/STT_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadLatency, 64, 2,ResNet26w_multi_int,5900000.0,0,42.421,0.0,84.931,42.421,0.0,3.3214757999999995,0.0,0.4026273138275186,0.0,0.28878371399999997,39.366,0.562962,2.385,7.19,45.638,42.51,1
