MemCellType,CellArea (F^2),CellAspectRatio,AccessType,AccessCMOSWidth (F),ResistanceOnAtSetVoltage (ohm),ResistanceOffAtSetVoltage (ohm),ResistanceOnAtResetVoltage (ohm),ResistanceOffAtResetVoltage (ohm),ResistanceOnAtReadVoltage (ohm),ResistanceOffAtReadVoltage (ohm),ResistanceOnAtHalfResetVoltage (ohm),CapacitanceOn (F),CapacitanceOff (F),ReadMode,ReadVoltage (V),ReadPower (uW),ResetMode,ResetVoltage (V),ResetPulse (ns),ResetEnergy (pJ),SetMode,SetVoltage (V),SetPulse (ns),SetEnergy (pJ),MemoryCellInputFile,DesignTarget,DeviceRoadmap,LocalWireType,LocalWireRepeaterType,LocalWireUseLowSwing,GlobalWireType,GlobalWireRepeaterType,GlobalWireUseLowSwing,Routing,InternalSensing,Temperature (K),BufferDesignOptimization,ProcessNode,OptimizationTarget,WordWidth (bit),Capacity (MB),Benchmark Name,Read Accesses,Write Accesses,Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Read BW Util,Write BW Util,Area (mm^2),Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Bits Per Cell
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,0,0,0.0,0.0,3.432,0.0,0.0,0.0,0.0,0.0,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,1,0,4.027999999999999e-06,0.0,3.432004028,4.027999999999999e-06,0.0,7.74891e-07,0.0,9.587727708533079e-08,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,2,0,8.055999999999999e-06,0.0,3.432008056,8.055999999999999e-06,0.0,1.549782e-06,0.0,1.9175455417066158e-07,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,10.0,0,4.0279999999999994e-05,0.0,3.43204028,4.0279999999999994e-05,0.0,7.74891e-06,0.0,9.58772770853308e-07,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,20.0,0,8.055999999999999e-05,0.0,3.4320805599999997,8.055999999999999e-05,0.0,1.549782e-05,0.0,1.917545541706616e-06,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,100.0,0,0.0004027999999999999,0.0,3.4324027999999998,0.0004027999999999999,0.0,7.74891e-05,0.0,9.58772770853308e-06,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,200.0,0,0.0008055999999999998,0.0,3.4328056,0.0008055999999999998,0.0,0.0001549782,0.0,1.917545541706616e-05,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,1000.0,0,0.0040279999999999995,0.0,3.436028,0.0040279999999999995,0.0,0.000774891,0.0,9.58772770853308e-05,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,2000.0,0,0.008055999999999999,0.0,3.440056,0.008055999999999999,0.0,0.001549782,0.0,0.0001917545541706616,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,10000.0,0,0.040279999999999996,0.0,3.47228,0.040279999999999996,0.0,0.0077489099999999995,0.0,0.0009587727708533079,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,20000.0,0,0.08055999999999999,0.0,3.51256,0.08055999999999999,0.0,0.015497819999999999,0.0,0.0019175455417066159,0.0,0.246714698,87.22,0.774891,10.64,4.028,53.188,3.432,1
