MemCellType,CellArea (F^2),CellAspectRatio,AccessType,AccessCMOSWidth (F),ResistanceOn (ohm),ResistanceOff (ohm),ReadMode,ReadVoltage (V),ReadPower (uW),ResetMode,ResetCurrent (uA),ResetPulse (ns),ResetEnergy (pJ),SetMode,SetCurrent (uA),SetPulse (ns),SetEnergy (pJ),MemoryCellInputFile,DesignTarget,DeviceRoadmap,LocalWireType,LocalWireRepeaterType,LocalWireUseLowSwing,GlobalWireType,GlobalWireRepeaterType,GlobalWireUseLowSwing,Routing,InternalSensing,Temperature (K),BufferDesignOptimization,ProcessNode,OptimizationTarget,WordWidth (bit),Capacity (MB),Benchmark Name,Read Accesses,Write Accesses,Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Read BW Util,Write BW Util,Area (mm^2),Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Bits Per Cell
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,0,0,0.0,0.0,2.097,0.0,0.0,0.0,0.0,0.0,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,1,0,3.7879999999999996e-06,0.0,2.097003788,3.7879999999999996e-06,0.0,9.71344e-07,0.0,2.1276595744680852e-07,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,2,0,7.575999999999999e-06,0.0,2.0970075759999998,7.575999999999999e-06,0.0,1.942688e-06,0.0,4.2553191489361704e-07,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,10.0,0,3.7879999999999996e-05,0.0,2.09703788,3.7879999999999996e-05,0.0,9.71344e-06,0.0,2.127659574468085e-06,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,20.0,0,7.575999999999999e-05,0.0,2.09707576,7.575999999999999e-05,0.0,1.942688e-05,0.0,4.25531914893617e-06,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,100.0,0,0.0003788,0.0,2.0973788,0.0003788,0.0,9.713440000000001e-05,0.0,2.1276595744680852e-05,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,200.0,0,0.0007576,0.0,2.0977576,0.0007576,0.0,0.00019426880000000002,0.0,4.2553191489361704e-05,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,1000.0,0,0.0037879999999999997,0.0,2.100788,0.0037879999999999997,0.0,0.0009713440000000001,0.0,0.00021276595744680854,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,2000.0,0,0.007575999999999999,0.0,2.104576,0.007575999999999999,0.0,0.0019426880000000001,0.0,0.00042553191489361707,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,10000.0,0,0.037880000000000004,0.0,2.13488,0.037880000000000004,0.0,0.00971344,0.0,0.002127659574468085,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,20000.0,0,0.07576000000000001,0.0,2.17276,0.07576000000000001,0.0,0.01942688,0.0,0.00425531914893617,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,100000.0,0,0.3788,0.0,2.4758,0.3788,0.0,0.09713440000000001,0.0,0.02127659574468085,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,200000.0,0,0.7576,0.0,2.8546,0.7576,0.0,0.19426880000000002,0.0,0.0425531914893617,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
 MRAM, 54, 1.460000, CMOS, 6.000000, 3000, 6000, current, 0.250000, 30.000000, current, 80, 10, 1, current, 80, 10, 1, data/cell_cfgs/STT_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,test,1000000.0,0,3.788,0.0,5.885,3.788,0.0,0.9713440000000002,0.0,0.2127659574468085,0.0,0.24413056400000002,89.806,0.9713440000000001,10.967,3.788,68.267,2.097,1
